Site Name,Country,Region,Category,Year Inscribed,Is Endangered,Longitude,Latitude,Area (ha),UNESCO Criteria,Endangered Status (Year),Year Listed Endangered,Delisting Year,Site ID
Shirakami-Sanchi,Japan,Asia and the Pacific,Natural,1993,Not Endangered,140.13,40.47,16971,(ix),,,,663
"Historic Monuments of Ancient Kyoto (Kyoto, Uji and Otsu Cities)",Japan,Asia and the Pacific,Cultural,1994,Not Endangered,135.7694444,34.98055556,1056,(ii)(iv),,,,688
Historic Villages of Shirakawa-go and Gokayama,Japan,Asia and the Pacific,Cultural,1995,Not Endangered,136.8833333,36.4,68,(iv)(v),,,,734
Hiroshima Peace Memorial (Genbaku Dome),Japan,Asia and the Pacific,Cultural,1996,Not Endangered,132.45,34.38333333,0.4,(vi),,,,775
Itsukushima Shinto Shrine,Japan,Asia and the Pacific,Cultural,1996,Not Endangered,132.3246389,34.29441667,431.2,(i)(ii)(iv)(vi),,,,776
Historic Monuments of Ancient Nara,Japan,Asia and the Pacific,Cultural,1998,Not Endangered,135.8394444,34.67555556,617,(ii)(iii)(iv)(vi),,,,870
Shrines and Temples of Nikko,Japan,Asia and the Pacific,Cultural,1999,Not Endangered,139.6105556,36.7475,50.8,(i)(iv)(vi),,,,913
Gusuku Sites and Related Properties of the Kingdom of Ryukyu,Japan,Asia and the Pacific,Cultural,2000,Not Endangered,127.6827778,26.20861111,54.9,(ii)(iii)(vi),,,,972
Sacred Sites and Pilgrimage Routes in the Kii Mountain Range,Japan,Asia and the Pacific,Cultural,2004,Not Endangered,135.7763889,33.83694444,506.4,(ii)(iii)(iv)(vi),,,,1142
Shiretoko,Japan,Asia and the Pacific,Natural,2005,Not Endangered,144.96583,43.94944,71100,(ix)(x),,,,1193
Iwami Ginzan Silver Mine and its Cultural Landscape,Japan,Asia and the Pacific,Cultural,2007,Not Endangered,132.435,35.11277778,529.17,(ii)(iii)(v),,,,1246
"Hiraizumi – Temples, Gardens and Archaeological Sites Representing the Buddhist Pure Land",Japan,Asia and the Pacific,Cultural,2011,Not Endangered,141.1077778,39.00111111,176.2,(ii)(vi),,,,1277
Ogasawara Islands,Japan,Asia and the Pacific,Natural,2011,Not Endangered,142.0997222,27.71833333,7939,(ix),,,,1362
"Fujisan, sacred place and source of artistic inspiration",Japan,Asia and the Pacific,Cultural,2013,Not Endangered,138.7275,35.36083333,20702.1,(iii)(vi),,,,1418
Tomioka Silk Mill and Related Sites,Japan,Asia and the Pacific,Cultural,2014,Not Endangered,138.8877778,36.25527778,7.2,(ii)(iv),,,,1449
"Sites of Japan’s Meiji Industrial Revolution: Iron and Steel, Shipbuilding and Coal Mining",Japan,Asia and the Pacific,Cultural,2015,Not Endangered,131.4122222,34.43055556,306.66,(ii)(iv),,,,1484
Hidden Christian Sites in the Nagasaki Region,Japan,Asia and the Pacific,Cultural,2018,Not Endangered,128.9038889,32.80222222,5566.55,(iii),,,,1495
Sacred Island of Okinoshima and Associated Sites in the Munakata Region ,Japan,Asia and the Pacific,Cultural,2017,Not Endangered,130.1055556,34.245,98.93,(ii)(iii),,,,1535
Mozu-Furuichi Kofun Group: Mounded Tombs of Ancient Japan,Japan,Asia and the Pacific,Cultural,2019,Not Endangered,135.6094444,34.56222222,166.66,(iii)(iv),,,,1593
Old City of Jerusalem and its Walls,Jerusalem (Site proposed by Jordan),Arab States,Cultural,1981,Endangered,35.21666667,31.78333333,0,(ii)(iii)(vi),Y 1982,1982,,148
Petra,Jordan,Arab States,Cultural,1985,Not Endangered,35.44333,30.33056,26171,(i)(iii)(iv),,,,326
Quseir Amra,Jordan,Arab States,Cultural,1985,Not Endangered,36.58583,31.80194,0,(i)(iii)(iv),,,,327
Um er-Rasas (Kastrom Mefa'a),Jordan,Arab States,Cultural,2004,Not Endangered,35.92056,31.50167,23.928,(i)(iv)(vi),,,,1093
Wadi Rum Protected Area,Jordan,Arab States,Mixed,2011,Not Endangered,35.43388889,29.63972222,74179.7,(iii)(v)(vii),,,,1377
Baptism Site “Bethany Beyond the Jordan” (Al-Maghtas),Jordan,Arab States,Cultural,2015,Not Endangered,35.55277778,31.83722222,294.155,(iii)(vi),,,,1446
Saryarka – Steppe and Lakes of Northern Kazakhstan,Kazakhstan,Asia and the Pacific,Natural,2008,Not Endangered,69.18888889,50.43333333,450344,(ix)(x),,,,1102
Mausoleum of Khoja Ahmed Yasawi,Kazakhstan,Asia and the Pacific,Cultural,2003,Not Endangered,68.27444444,43.29305556,0.55,(i)(iii)(iv),,,,1103
Petroglyphs within the Archaeological Landscape of Tamgaly,Kazakhstan,Asia and the Pacific,Cultural,2004,Not Endangered,75.535,43.80333333,900,(iii),,,,1145
Mount Kenya National Park/Natural Forest,Kenya,Africa,Natural,1997,Not Endangered,37.31555556,-0.155,202334,(vii)(ix),,,,800
Lake Turkana National Parks,Kenya,Africa,Natural,1997,Endangered,36.50366667,3.051305556,161485,(viii)(x),Y 2018,2018,,801
Lamu Old Town,Kenya,Africa,Cultural,2001,Not Endangered,40.8525,-2.284444444,15.6,(ii)(iv)(vi),,,,1055
Kenya Lake System in the Great Rift Valley,Kenya,Africa,Natural,2011,Not Endangered,36.24,-0.4425,32034,(vii)(ix)(x),,,,1060
Sacred Mijikenda Kaya Forests,Kenya,Africa,Cultural,2008,Not Endangered,39.59611111,-3.931944444,1538,(iii)(v)(vi),,,,1231
"Fort Jesus, Mombasa",Kenya,Africa,Cultural,2011,Not Endangered,39.67944444,-4.062777778,2.36,(ii)(v),,,,1295
Thimlich Ohinga Archaeological Site,Kenya,Africa,Cultural,2018,Not Endangered,34.326107,-0.891338056,21,(iii)(iv)(v),,,,1450
Phoenix Islands Protected Area,Kiribati,Asia and the Pacific,Natural,2010,Not Endangered,-172.8575,-3.649722222,40825000,(vii)(ix),,,,1325
Sulaiman-Too Sacred Mountain,Kyrgyzstan,Asia and the Pacific,Cultural,2009,Not Endangered,72.78277778,40.53111111,112,(iii)(vi),,,,1230
Town of Luang Prabang,Lao People's Democratic Republic,Asia and the Pacific,Cultural,1995,Not Endangered,102.13333,19.88889,820,(ii)(iv)(v),,,,479
Vat Phou and Associated Ancient Settlements within the Champasak Cultural Landscape,Lao People's Democratic Republic,Asia and the Pacific,Cultural,2001,Not Endangered,105.8222222,14.84833333,39000,(iii)(iv)(vi),,,,481
Megalithic Jar Sites in Xiengkhuang – Plain of Jars,Lao People's Democratic Republic,Asia and the Pacific,Cultural,2019,Not Endangered,103.1522222,19.43105556,174.56,(iii),,,,1587
Historic Centre of Riga,Latvia,Europe and North America,Cultural,1997,Not Endangered,24.11667,56.95417,438.3,(i)(ii),,,,852
Anjar,Lebanon,Arab States,Cultural,1984,Not Endangered,35.92972,33.72583,0,(iii)(iv),,,,293
Baalbek,Lebanon,Arab States,Cultural,1984,Not Endangered,36.20494,34.00707,0,(i)(iv),,,,294
Byblos,Lebanon,Arab States,Cultural,1984,Not Endangered,35.6475,34.11917,0,(iii)(iv)(vi),,,,295
Tyre,Lebanon,Arab States,Cultural,1984,Not Endangered,35.19444,33.27194,153.8,(iii)(vi),,,,299
Ouadi Qadisha (the Holy Valley) and the Forest of the Cedars of God (Horsh Arz el-Rab),Lebanon,Arab States,Cultural,1998,Not Endangered,36.04889,34.24333,1720.2,(iii)(iv),,,,850
Archaeological Site of Leptis Magna,Libya,Arab States,Cultural,1982,Endangered,14.29306,32.63833,387.485,(i)(ii)(iii),Y 2016,2016,,183
Archaeological Site of Sabratha,Libya,Arab States,Cultural,1982,Endangered,12.485,32.80528,90.534,(iii),Y 2016,2016,,184
Archaeological Site of Cyrene,Libya,Arab States,Cultural,1982,Endangered,21.85833,32.825,131.675,(ii)(iii)(vi),Y 2016,2016,,190
Rock-Art Sites of Tadrart Acacus,Libya,Arab States,Cultural,1985,Endangered,10.33333,24.83333,3923961,(iii),Y 2016,2016,,287
Old Town of Ghadamès,Libya,Arab States,Cultural,1986,Endangered,9.5,30.13333333,38.4,(v),Y 2016,2016,,362
Vilnius Historic Centre,Lithuania,Europe and North America,Cultural,1994,Not Endangered,25.29306,54.68667,352.09,(ii)(iv),,,,541
Kernavė  Archaeological Site (Cultural Reserve of Kernavė),Lithuania,Europe and North America,Cultural,2004,Not Endangered,24.83055556,54.88777778,194.4,(iii)(iv),,,,1137
City of Luxembourg: its Old Quarters and Fortifications,Luxembourg,Europe and North America,Cultural,1994,Not Endangered,6.13333,49.61,29.94,(iv),,,,699
Tsingy de Bemaraha Strict Nature Reserve,Madagascar,Africa,Natural,1990,Not Endangered,44.75,-18.66667,152000,(vii)(x),,,,494
Royal Hill of Ambohimanga,Madagascar,Africa,Cultural,2001,Not Endangered,47.56278,-18.75917,59,(iii)(iv)(vi),,,,950
Rainforests of the Atsinanana,Madagascar,Africa,Natural,2007,Endangered,49.7025,-14.45972222,479660.7,(ix)(x),Y 2010,2010,,1257
Lake Malawi National Park,Malawi,Africa,Natural,1984,Not Endangered,34.88333,-14.03333,9400,(vii)(ix)(x),,,,289
Chongoni Rock-Art Area,Malawi,Africa,Cultural,2006,Not Endangered,34.27916667,-14.29333333,12640,(iii)(vi),,,,476
Kinabalu Park,Malaysia,Asia and the Pacific,Natural,2000,Not Endangered,116.5,6.25,75370,(ix)(x),,,,1012
Gunung Mulu National Park,Malaysia,Asia and the Pacific,Natural,2000,Not Endangered,114.91667,4.13333,52864,(vii)(viii)(ix)(x),,,,1013
"Melaka and George Town, Historic Cities of the Straits of Malacca",Malaysia,Asia and the Pacific,Cultural,2008,Not Endangered,100.3458333,5.421388889,218.76,(ii)(iii)(iv),,,,1223
Archaeological Heritage of the Lenggong Valley,Malaysia,Asia and the Pacific,Cultural,2012,Not Endangered,100.9723278,5.067908333,398.64,(iii)(iv),,,,1396
Old Towns of Djenné,Mali,Africa,Cultural,1988,Endangered,-4.555,13.90639,0,(iii)(iv),Y 2016,2016,,116
Timbuktu,Mali,Africa,Cultural,1988,Endangered,-2.999444444,16.77333333,0,(ii)(iv)(v),Y 2012 P 1990-2005,2012,2005,119
Cliff of Bandiagara (Land of the Dogons),Mali,Africa,Mixed,1989,Not Endangered,-3.41667,14.33333,327390,(v)(vii),,,,516
Tomb of Askia,Mali,Africa,Cultural,2004,Endangered,-0.04456,16.2898,4.24,(ii)(iii)(iv),Y 2012,2012,,1139
Ħal Saflieni Hypogeum,Malta,Europe and North America,Cultural,1980,Not Endangered,14.50739,35.87134,0.13,(iii),,,,130
City of Valletta,Malta,Europe and North America,Cultural,1980,Not Endangered,14.51444,35.90056,55.5,(i)(vi),,,,131
Megalithic Temples of Malta,Malta,Europe and North America,Cultural,1980,Not Endangered,14.26947,36.04908,3.155,(iv),,,,132
Bikini Atoll Nuclear Test Site,Marshall Islands,Asia and the Pacific,Cultural,2010,Not Endangered,165.3805556,11.6,73500,(iv)(vi),,,,1339
Banc d'Arguin National Park,Mauritania,Arab States,Natural,1989,Not Endangered,-16.10889,20.23472,1200000,(ix)(x),,,,506
"Ancient <I>Ksour</I> of Ouadane, Chinguetti, Tichitt and Oualata",Mauritania,Arab States,Cultural,1996,Not Endangered,-11.62361,20.92889,0,(iii)(iv)(v),,,,750
Aapravasi Ghat,Mauritius,Africa,Cultural,2006,Not Endangered,57.50316667,-20.15863889,0.164,(vi),,,,1227
Le Morne Cultural Landscape,Mauritius,Africa,Cultural,2008,Not Endangered,57.32833333,-20.45194444,349.6,(iii)(vi),,,,1259
Sian Ka'an,Mexico,Latin America and the Caribbean,Natural,1987,Not Endangered,-87.79167,19.38333,528000,(vii)(x),,,,410
Pre-Hispanic City and National Park of Palenque,Mexico,Latin America and the Caribbean,Cultural,1987,Not Endangered,-92.05,17.48333,1772,(i)(ii)(iii)(iv),,,,411
Historic Centre of Mexico City and Xochimilco,Mexico,Latin America and the Caribbean,Cultural,1987,Not Endangered,-99.13278,19.41833,0,(ii)(iii)(iv)(v),,,,412
Pre-Hispanic City of Teotihuacan,Mexico,Latin America and the Caribbean,Cultural,1987,Not Endangered,-98.84167,19.69167,250,(i)(ii)(iii)(iv)(vi),,,,414
Historic Centre of Oaxaca and Archaeological Site of Monte Albán,Mexico,Latin America and the Caribbean,Cultural,1987,Not Endangered,-96.72167,17.06194,375,(i)(ii)(iii)(iv),,,,415
Historic Centre of Puebla,Mexico,Latin America and the Caribbean,Cultural,1987,Not Endangered,-98.20833,19.04722,690,(ii)(iv),,,,416
Historic Town of Guanajuato and Adjacent Mines,Mexico,Latin America and the Caribbean,Cultural,1988,Not Endangered,-101.25556,21.01694,2167.5,(i)(ii)(iv)(vi),,,,482
Pre-Hispanic City of Chichen-Itza,Mexico,Latin America and the Caribbean,Cultural,1988,Not Endangered,-88.6,20.66667,0,(i)(ii)(iii),,,,483
Whale Sanctuary of El Vizcaino,Mexico,Latin America and the Caribbean,Natural,1993,Not Endangered,-114.22778,27.79222,369631,(x),,,,554
"Archaeological Zone of Paquimé, Casas Grandes",Mexico,Latin America and the Caribbean,Cultural,1998,Not Endangered,-107.95556,30.37583,146.72,(iii)(iv),,,,560
Historic Centre of Morelia,Mexico,Latin America and the Caribbean,Cultural,1991,Not Endangered,-101.19167,19.70444,390,(ii)(iv)(vi),,,,585
"El Tajin, Pre-Hispanic City",Mexico,Latin America and the Caribbean,Cultural,1992,Not Endangered,-97.3775,20.47639,240,(iii)(iv),,,,631
Historic Centre of Zacatecas,Mexico,Latin America and the Caribbean,Cultural,1993,Not Endangered,-102.55556,22.76667,207.72,(ii)(iv),,,,676
Earliest 16th-Century Monasteries on the Slopes of Popocatepetl,Mexico,Latin America and the Caribbean,Cultural,1994,Not Endangered,-98.89778,18.93472,21.56,(ii)(iv),,,,702
Rock Paintings of the Sierra de San Francisco,Mexico,Latin America and the Caribbean,Cultural,1993,Not Endangered,-112.91611,27.65556,182600,(i)(iii),,,,714
Pre-Hispanic Town of Uxmal,Mexico,Latin America and the Caribbean,Cultural,1996,Not Endangered,-89.77027778,20.36166667,2059.8,(i)(ii)(iii),,,,791
Historic Monuments Zone of Querétaro,Mexico,Latin America and the Caribbean,Cultural,1996,Not Endangered,-100.3666667,20.58333333,0,(ii)(iv),,,,792
"Hospicio Cabañas, Guadalajara",Mexico,Latin America and the Caribbean,Cultural,1997,Not Endangered,-103.3397222,20.67388889,0,(i)(ii)(iii)(iv),,,,815
Historic Monuments Zone of Tlacotalpan,Mexico,Latin America and the Caribbean,Cultural,1998,Not Endangered,-95.65833333,18.60833333,75,(ii)(iv),,,,862
Historic Fortified Town of Campeche,Mexico,Latin America and the Caribbean,Cultural,1999,Not Endangered,-90.53722,19.84639,181,(ii)(iv),,,,895
Archaeological Monuments Zone of Xochicalco,Mexico,Latin America and the Caribbean,Cultural,1999,Not Endangered,-99.275,18.81028,707.65,(iii)(iv),,,,939
"Ancient Maya City and Protected Tropical Forests of Calakmul, Campeche",Mexico,Latin America and the Caribbean,Mixed,2002,Not Endangered,-89.73728333,18.05302778,331397,(i)(ii)(iii)(iv)(ix)(x),,,,1061
Franciscan Missions in the Sierra Gorda of Querétaro,Mexico,Latin America and the Caribbean,Cultural,2003,Not Endangered,-99.46411111,21.20438889,103.7,(ii)(iii),,,,1079
Luis Barragán House and Studio,Mexico,Latin America and the Caribbean,Cultural,2004,Not Endangered,-99.19833333,19.41833333,0.1161,(i)(ii),,,,1136
Islands and Protected Areas of the Gulf of California,Mexico,Latin America and the Caribbean,Natural,2005,Endangered,-112.54583,27.62667,688558,(vii)(ix)(x),Y 2019,2019,,1182
Agave Landscape and Ancient Industrial Facilities of Tequila,Mexico,Latin America and the Caribbean,Cultural,2006,Not Endangered,-103.7786111,20.86305556,35018.852,(ii)(iv)(v)(vi),,,,1209
Central University City Campus of the <i>Universidad Nacional Autónoma de México</i> (UNAM),Mexico,Latin America and the Caribbean,Cultural,2007,Not Endangered,-99.18805556,19.33222222,176.5,(i)(ii)(iv),,,,1250
Protective town of San Miguel and the Sanctuary of Jesús Nazareno de Atotonilco,Mexico,Latin America and the Caribbean,Cultural,2008,Not Endangered,-100.7463889,20.91444444,46.95,(ii)(iv),,,,1274
Monarch Butterfly Biosphere Reserve,Mexico,Latin America and the Caribbean,Natural,2008,Not Endangered,-100.2416667,19.60638889,13551.552,(vii),,,,1290
Camino Real de Tierra Adentro,Mexico,Latin America and the Caribbean,Cultural,2010,Not Endangered,-102.3791667,22.60805556,3101.91,(ii)(iv),,,,1351
Prehistoric Caves of Yagul and Mitla in the Central Valley of Oaxaca,Mexico,Latin America and the Caribbean,Cultural,2010,Not Endangered,-96.42111111,16.95083333,1515.17,(iii),,,,1352
El Pinacate and Gran Desierto de Altar Biosphere Reserve,Mexico,Latin America and the Caribbean,Natural,2013,Not Endangered,-113.9166667,32,714566,(vii)(viii)(x),,,,1410
Aqueduct of Padre Tembleque Hydraulic System,Mexico,Latin America and the Caribbean,Cultural,2015,Not Endangered,-98.66256667,19.83527778,6540,(i)(ii)(iv),,,,1463
Archipiélago de Revillagigedo,Mexico,Latin America and the Caribbean,Natural,2016,Not Endangered,-110.9752778,18.78805556,636685.375,(vii)(ix)(x),,,,1510
Tehuacán-Cuicatlán Valley: originary habitat of Mesoamerica,Mexico,Latin America and the Caribbean,Mixed,2018,Not Endangered,-97.18715278,17.98996111,145255.2,(iv)(x),,,,1534
Nan Madol: Ceremonial Centre of Eastern Micronesia,Micronesia (Federated States of),Asia and the Pacific,Cultural,2016,Endangered,158.3308333,6.839722222,76.7,(i)(iii)(iv)(vi),Y 2016,2016,,1503
Orkhon Valley Cultural Landscape,Mongolia,Asia and the Pacific,Cultural,2004,Not Endangered,102.8313889,47.55666667,121967,(ii)(iii)(iv),,,,1081
Petroglyphic Complexes of the Mongolian Altai,Mongolia,Asia and the Pacific,Cultural,2011,Not Endangered,88.39527778,49.33388889,11300,(iii),,,,1382
Great Burkhan Khaldun Mountain and its surrounding sacred landscape,Mongolia,Asia and the Pacific,Cultural,2015,Not Endangered,109.0093278,48.76197778,443739.2,(iv)(vi),,,,1440
Durmitor National Park,Montenegro,Europe and North America,Natural,1980,Not Endangered,19.0166,43.133,32100,(vii)(viii)(x),,,,100
Natural and Culturo-Historical Region of Kotor,Montenegro,Europe and North America,Cultural,1979,Not Endangered,18.7,42.48333,14600,(i)(ii)(iii)(iv),P 1979-2003,1979,2003,125
Medina of Fez,Morocco,Arab States,Cultural,1981,Not Endangered,-4.97778,34.06111,280,(ii)(v),,,,170
Medina of Marrakesh,Morocco,Arab States,Cultural,1985,Not Endangered,-7.98667,31.63139,1107,(i)(ii)(iv)(v),,,,331
Ksar of Ait-Ben-Haddou,Morocco,Arab States,Cultural,1987,Not Endangered,-7.12889,31.04722,3.03,(iv)(v),,,,444
Medina of Essaouira (formerly Mogador),Morocco,Arab States,Cultural,2001,Not Endangered,-9.770305556,31.51411111,56.7,(ii)(iv),,,,753
Historic City of Meknes,Morocco,Arab States,Cultural,1996,Not Endangered,-5.55833,33.88333,0,(iv),,,,793
Archaeological Site of Volubilis,Morocco,Arab States,Cultural,1997,Not Endangered,-5.55694,34.07389,42,(ii)(iii)(iv)(vi),,,,836
Medina of Tétouan (formerly known as Titawin),Morocco,Arab States,Cultural,1997,Not Endangered,-5.36667,35.57083,6.5,(ii)(iv)(v),,,,837
Portuguese City of Mazagan (El Jadida),Morocco,Arab States,Cultural,2004,Not Endangered,-8.50194,33.25667,7.5,(ii)(iv),,,,1058
"Rabat, Modern Capital and Historic City: a Shared Heritage",Morocco,Arab States,Cultural,2012,Not Endangered,-6.822777778,34.02416667,348.59,(ii)(iv),,,,1401
Island of Mozambique,Mozambique,Africa,Cultural,1991,Not Endangered,40.73583,-15.03417,0,(iv)(vi),,,,599
Pyu Ancient Cities,Myanmar,Asia and the Pacific,Cultural,2014,Not Endangered,95.81861111,22.47,5809,(ii)(iii)(iv),,,,1444
Bagan,Myanmar,Asia and the Pacific,Cultural,2019,Not Endangered,94.88444444,21.14888889,5005.49,(iii)(iv)(vi),,,,1588
Twyfelfontein or /Ui-//aes,Namibia,Africa,Cultural,2007,Not Endangered,14.37258333,-20.59558333,57.4269,(iii)(v),,,,1255
Namib Sand Sea,Namibia,Africa,Natural,2013,Not Endangered,15.40777778,-24.88527778,3077700,(vii)(viii)(ix)(x),,,,1430
Sagarmatha National Park,Nepal,Asia and the Pacific,Natural,1979,Not Endangered,86.91306,27.96528,124400,(vii),,,,120
Kathmandu Valley ,Nepal,Asia and the Pacific,Cultural,1979,Not Endangered,85.30858,27.70395,167.37,(iii)(iv)(vi),P 2003-2007,2003,2007,121
Chitwan National Park,Nepal,Asia and the Pacific,Natural,1984,Not Endangered,84.33333,27.5,93200,(vii)(ix)(x),,,,284
"Lumbini, the Birthplace of the Lord Buddha",Nepal,Asia and the Pacific,Cultural,1997,Not Endangered,83.27611,27.46889,1.95,(iii)(vi),,,,666
Schokland and Surroundings,Netherlands,Europe and North America,Cultural,1995,Not Endangered,5.771666667,52.63861111,1306,(iii)(v),,,,739
Defence Line of Amsterdam,Netherlands,Europe and North America,Cultural,1996,Not Endangered,4.893055556,52.37444444,17576,(ii)(iv)(v),,,,759
Mill Network at Kinderdijk-Elshout,Netherlands,Europe and North America,Cultural,1997,Not Endangered,4.649444444,51.8825,322,(i)(ii)(iv),,,,818
"Historic Area of Willemstad, Inner City and Harbour, Curaçao",Netherlands,Europe and North America,Cultural,1997,Not Endangered,-68.90222,12.10194,86,(ii)(iv)(v),,,,819
Ir.D.F. Woudagemaal (D.F. Wouda Steam Pumping Station),Netherlands,Europe and North America,Cultural,1998,Not Endangered,5.67889,52.84583,7.32,(i)(ii)(iv),,,,867
Droogmakerij de Beemster (Beemster Polder),Netherlands,Europe and North America,Cultural,1999,Not Endangered,4.911111111,52.54888889,7208,(i)(ii)(iv),,,,899
Rietveld Schröderhuis (Rietveld Schröder House),Netherlands,Europe and North America,Cultural,2000,Not Endangered,5.147555556,52.08533333,0.0075,(i)(ii),,,,965
Seventeenth-Century Canal Ring Area of Amsterdam inside the Singelgracht,Netherlands,Europe and North America,Cultural,2010,Not Endangered,4.887777778,52.365,198.2,(i)(ii)(iv),,,,1349
Van Nellefabriek,Netherlands,Europe and North America,Cultural,2014,Not Endangered,4.418333333,51.92333333,6.94,(ii)(iv),,,,1441
Tongariro National Park,New Zealand,Asia and the Pacific,Mixed,1990,Not Endangered,175.5622222,-39.29083333,79596,(vi)(vii)(viii),,,,421
Te Wahipounamu – South West New Zealand,New Zealand,Asia and the Pacific,Natural,1990,Not Endangered,167.3196111,-45.03602778,2600000,(vii)(viii)(ix)(x),,,,551
New Zealand Sub-Antarctic Islands,New Zealand,Asia and the Pacific,Natural,1998,Not Endangered,166.1044444,-50.75,76458,(ix)(x),,,,877
Ruins of León Viejo,Nicaragua,Latin America and the Caribbean,Cultural,2000,Not Endangered,-86.61028,12.39722,31.87,(iii)(iv),,,,613
León Cathedral,Nicaragua,Latin America and the Caribbean,Cultural,2011,Not Endangered,-86.87805556,12.435,0.77,(ii)(iv),,,,1236
Air and Ténéré Natural Reserves,Niger,Africa,Natural,1991,Endangered,9,18,7736000,(vii)(ix)(x),Y 1992,1992,,573
Historic Centre of Agadez,Niger,Africa,Cultural,2013,Not Endangered,7.991388889,16.97361111,77.6,(ii)(iii),,,,1268
Sukur Cultural Landscape,Nigeria,Africa,Cultural,1999,Not Endangered,13.57194,10.74056,764.4,(iii)(v)(vi),,,,938
Osun-Osogbo Sacred Grove,Nigeria,Africa,Cultural,2005,Not Endangered,4.55222,7.75556,75,(ii)(iii)(vi),,,,1118
Røros Mining Town and the Circumference,Norway,Europe and North America,Cultural,1980,Not Endangered,11.38555556,62.57388889,16510,(iii)(iv)(v),,,,55
Urnes Stave Church,Norway,Europe and North America,Cultural,1979,Not Endangered,7.33333,61.3,0.21,(i)(ii)(iii),,,,58
Bryggen,Norway,Europe and North America,Cultural,1979,Not Endangered,5.32306,60.39722,1.196,(iii),,,,59
Rock Art of Alta,Norway,Europe and North America,Cultural,1985,Not Endangered,23.18333,69.95,53.59,(iii),,,,352
Vegaøyan – The Vega Archipelago,Norway,Europe and North America,Cultural,2004,Not Endangered,11.75,65.61667,107294,(v),,,,1143
West Norwegian Fjords – Geirangerfjord and Nærøyfjord,Norway,Europe and North America,Natural,2005,Not Endangered,7.16667,62.11667,0,(vii)(viii),,,,1195
Rjukan-Notodden Industrial Heritage Site,Norway,Europe and North America,Cultural,2015,Not Endangered,8.593611111,59.87861111,4959.5,(ii)(iv),,,,1486
Bahla Fort,Oman,Arab States,Cultural,1987,Not Endangered,57.30111,22.96417,0,(iv),P 1988-2004,1988,2004,433
"Archaeological Sites of Bat, Al-Khutm and Al-Ayn",Oman,Arab States,Cultural,1988,Not Endangered,56.745,23.26986,0,(iii)(iv),,,,434
Land of Frankincense,Oman,Arab States,Cultural,2000,Not Endangered,53.64759,18.25333,849.88,(iii)(iv),,,,1010
<i>Aflaj</i> Irrigation Systems of Oman,Oman,Arab States,Cultural,2006,Not Endangered,57.53605556,22.99888889,1455.949,(v),,,,1207
Ancient City of Qalhat,Oman,Arab States,Cultural,2018,Not Endangered,59.37811111,22.69522222,75.82,(ii)(iii),,,,1537
Archaeological Ruins at Moenjodaro,Pakistan,Asia and the Pacific,Cultural,1980,Not Endangered,68.13888889,27.32916667,240,(ii)(iii),,,,138
Taxila,Pakistan,Asia and the Pacific,Cultural,1980,Not Endangered,72.8875,33.77916667,0,(iii)(vi),,,,139
Buddhist Ruins of Takht-i-Bahi and Neighbouring City Remains at Sahr-i-Bahlol,Pakistan,Asia and the Pacific,Cultural,1980,Not Endangered,71.94583333,34.32083333,0,(iv),,,,140
"Historical Monuments at Makli, Thatta",Pakistan,Asia and the Pacific,Cultural,1981,Not Endangered,67.9,24.76666667,0,(iii),,,,143
Fort and Shalamar Gardens in Lahore,Pakistan,Asia and the Pacific,Cultural,1981,Not Endangered,74.30972222,31.59027778,0,(i)(ii)(iii),P 2000-2012,2000,2012,171
Rohtas Fort,Pakistan,Asia and the Pacific,Cultural,1997,Not Endangered,73.58888889,32.9625,0,(ii)(iv),,,,586
Rock Islands Southern Lagoon,Palau,Asia and the Pacific,Mixed,2012,Not Endangered,134.3525,7.246925,100200,(iii)(v)(vii)(ix)(x),,,,1386
"Birthplace of Jesus: Church of the Nativity and the Pilgrimage Route, Bethlehem",Palestine,Arab States,Cultural,2012,Not Endangered,35.2075,31.70435278,2.98,(iv)(vi),P 2012-2019,2012,2019,1433
"Palestine: Land of Olives and Vines – Cultural Landscape of Southern Jerusalem, Battir",Palestine,Arab States,Cultural,2014,Endangered,35.13055556,31.71972222,348.83,(iv)(v),Y 2014,2014,,1492
Hebron/Al-Khalil Old Town,Palestine,Arab States,Cultural,2017,Endangered,35.10888889,31.52416667,20.6,(ii)(iv)(vi),Y 2017,2017,,1565
Fortifications on the Caribbean Side of Panama: Portobelo-San Lorenzo,Panama,Latin America and the Caribbean,Cultural,1980,Endangered,-79.65583333,9.553888889,0,(i)(iv),Y 2012,2012,,135
Darien National Park,Panama,Latin America and the Caribbean,Natural,1981,Not Endangered,-77.54722222,7.736111111,579000,(vii)(ix)(x),,,,159
Archaeological Site of Panamá Viejo and Historic District of Panamá,Panama,Latin America and the Caribbean,Cultural,1997,Not Endangered,-79.54055556,8.951111111,57.4,(ii)(iv)(vi),,,,790
Coiba National Park and its Special Zone of Marine Protection,Panama,Latin America and the Caribbean,Natural,2005,Not Endangered,-81.766,7.433,270125,(ix)(x),,,,1138
Kuk Early Agricultural Site,Papua New Guinea,Asia and the Pacific,Cultural,2008,Not Endangered,144.3317222,-5.783711111,116,(iii)(iv),,,,887
Jesuit Missions of La Santísima Trinidad de Paraná and Jesús de Tavarangue,Paraguay,Latin America and the Caribbean,Cultural,1993,Not Endangered,-55.7,-27.13333,27.88,(iv),,,,648
